stem,sensor,sensor_family,tier,category,category_label,anomaly_type,bands,height,width,anomaly_px,anomaly_pct,cube_url,gt_url,preview_url
ang20170821t183707_1,aviris_ng,AVIRIS family,unlabeled,background,Clean background (pretrain),Clean background (pretrain),425,81,81,0,,,,
ang20170821t183707_10,aviris_ng,AVIRIS family,unlabeled,background,Clean background (pretrain),Clean background (pretrain),425,81,81,0,,,,
ang20170821t183707_11,aviris_ng,AVIRIS family,unlabeled,background,Clean background (pretrain),Clean background (pretrain),425,81,81,0,,,,
ang20170821t183707_12,aviris_ng,AVIRIS family,unlabeled,background,Clean background (pretrain),Clean background (pretrain),425,81,81,0,,,,
ang20170821t183707_13,aviris_ng,AVIRIS family,unlabeled,background,Clean background (pretrain),Clean background (pretrain),425,81,81,0,,,,
ang20170821t183707_14,aviris_ng,AVIRIS family,unlabeled,background,Clean background (pretrain),Clean background (pretrain),425,81,81,0,,,,
ang20170821t183707_15,aviris_ng,AVIRIS family,unlabeled,background,Clean background (pretrain),Clean background (pretrain),425,81,81,0,,,,
ang20170821t183707_16,aviris_ng,AVIRIS family,unlabeled,background,Clean background (pretrain),Clean background (pretrain),425,81,81,0,,,,
ang20170821t183707_17,aviris_ng,AVIRIS family,unlabeled,background,Clean background (pretrain),Clean background (pretrain),425,81,81,0,,,,
ang20170821t183707_18,aviris_ng,AVIRIS family,unlabeled,background,Clean background (pretrain),Clean background (pretrain),425,81,81,0,,,,
ang20170821t183707_19,aviris_ng,AVIRIS family,unlabeled,background,Clean background (pretrain),Clean background (pretrain),425,81,81,0,,,,
ang20170821t183707_2,aviris_ng,AVIRIS family,unlabeled,background,Clean background (pretrain),Clean background (pretrain),425,81,81,0,,,,
ang20170821t183707_20,aviris_ng,AVIRIS family,unlabeled,background,Clean background (pretrain),Clean background (pretrain),425,81,81,0,,,,
ang20170821t183707_21,aviris_ng,AVIRIS family,unlabeled,background,Clean background (pretrain),Clean background (pretrain),425,81,81,0,,,,
ang20170821t183707_22,aviris_ng,AVIRIS family,unlabeled,background,Clean background (pretrain),Clean background (pretrain),425,81,81,0,,,,
ang20170821t183707_23,aviris_ng,AVIRIS family,unlabeled,background,Clean background (pretrain),Clean background (pretrain),425,81,81,0,,,,
ang20170821t183707_24,aviris_ng,AVIRIS family,unlabeled,background,Clean background (pretrain),Clean background (pretrain),425,81,81,0,,,,
ang20170821t183707_25,aviris_ng,AVIRIS family,unlabeled,background,Clean background (pretrain),Clean background (pretrain),425,81,81,0,,,,
ang20170821t183707_26,aviris_ng,AVIRIS family,unlabeled,background,Clean background (pretrain),Clean background (pretrain),425,81,81,0,,,,
ang20170821t183707_27,aviris_ng,AVIRIS family,unlabeled,background,Clean background (pretrain),Clean background (pretrain),425,81,81,0,,,,
ang20170821t183707_28,aviris_ng,AVIRIS family,unlabeled,background,Clean background (pretrain),Clean background (pretrain),425,81,81,0,,,,
ang20170821t183707_29,aviris_ng,AVIRIS family,unlabeled,background,Clean background (pretrain),Clean background (pretrain),425,81,81,0,,,,
ang20170821t183707_3,aviris_ng,AVIRIS family,unlabeled,background,Clean background (pretrain),Clean background (pretrain),425,81,81,0,,,,
ang20170821t183707_30,aviris_ng,AVIRIS family,unlabeled,background,Clean background (pretrain),Clean background (pretrain),425,81,81,0,,,,
ang20170821t183707_31,aviris_ng,AVIRIS family,unlabeled,background,Clean background (pretrain),Clean background (pretrain),425,81,81,0,,,,
ang20170821t183707_32,aviris_ng,AVIRIS family,unlabeled,background,Clean background (pretrain),Clean background (pretrain),425,81,81,0,,,,
ang20170821t183707_33,aviris_ng,AVIRIS family,unlabeled,background,Clean background (pretrain),Clean background (pretrain),425,81,81,0,,,,
ang20170821t183707_34,aviris_ng,AVIRIS family,unlabeled,background,Clean background (pretrain),Clean background (pretrain),425,81,81,0,,,,
ang20170821t183707_35,aviris_ng,AVIRIS family,unlabeled,background,Clean background (pretrain),Clean background (pretrain),425,81,81,0,,,,
ang20170821t183707_36,aviris_ng,AVIRIS family,unlabeled,background,Clean background (pretrain),Clean background (pretrain),425,81,81,0,,,,
ang20170821t183707_37,aviris_ng,AVIRIS family,unlabeled,background,Clean background (pretrain),Clean background (pretrain),425,81,81,0,,,,
ang20170821t183707_38,aviris_ng,AVIRIS family,unlabeled,background,Clean background (pretrain),Clean background (pretrain),425,81,81,0,,,,
ang20170821t183707_39,aviris_ng,AVIRIS family,unlabeled,background,Clean background (pretrain),Clean background (pretrain),425,81,81,0,,,,
ang20170821t183707_4,aviris_ng,AVIRIS family,unlabeled,background,Clean background (pretrain),Clean background (pretrain),425,81,81,0,,,,
ang20170821t183707_40,aviris_ng,AVIRIS family,unlabeled,background,Clean background (pretrain),Clean background (pretrain),425,81,81,0,,,,
ang20170821t183707_41,aviris_ng,AVIRIS family,unlabeled,background,Clean background (pretrain),Clean background (pretrain),425,81,81,0,,,,
ang20170821t183707_42,aviris_ng,AVIRIS family,unlabeled,background,Clean background (pretrain),Clean background (pretrain),425,81,81,0,,,,
ang20170821t183707_43,aviris_ng,AVIRIS family,unlabeled,background,Clean background (pretrain),Clean background (pretrain),425,81,81,0,,,,
