stem,sensor,sensor_family,tier,category,category_label,anomaly_type,bands,height,width,anomaly_px,anomaly_pct,cube_url,gt_url,preview_url
abu-beach-3,abu,AVIRIS family,anomaly_benchmark,water_dams_coast,"Water, Dams & Coast",Beach anomalies,100,100,100,0,,https://drive.google.com/file/d/1FVhafLiGPETLjZ6BY1UKlz2spqDwvS26/view,,https://drive.google.com/file/d/1p1fjLXEsgA3RCtbwQcXE86kScYui5BED/view
abu-airport-1,abu,AVIRIS family,anomaly_benchmark,aircraft,Aircraft on tarmac,Aircraft on tarmac,100,100,100,0,,https://drive.google.com/file/d/1vxz2UzQclnJ7UVR2wMk7iZ4RHitS8Jpe/view,,https://drive.google.com/file/d/17AX5biU8jbgkAgxcHuGUxd1Jf7rMJnUL/view
abu-airport-2,abu,AVIRIS family,anomaly_benchmark,aircraft,Aircraft on tarmac,Aircraft on tarmac,100,100,100,0,,https://drive.google.com/file/d/1inniKDB_DNnlFcM_HN2n9QWritX_WqSO/view,,https://drive.google.com/file/d/1D89MRCjYZJzhmnSO-LPIZRiDYM1Gitij/view
abu-beach-1,abu,AVIRIS family,anomaly_benchmark,water_dams_coast,"Water, Dams & Coast",Beach anomalies,150,150,150,0,,https://drive.google.com/file/d/16mnz6naDAjTZI3vc4psfd7OLVCBVtjbm/view,,https://drive.google.com/file/d/16-uk6tj5EaugekSb98uWqhZ0KyoyZX3-/view
abu-urban-4,abu,AVIRIS family,anomaly_benchmark,urban_buildings,Urban / Buildings / Settlements,Urban anomalies,100,100,100,0,,https://drive.google.com/file/d/1TyGGme3uwMooia1MQwntuKoklJ7PPQcY/view,,https://drive.google.com/file/d/1beQnvBB6XBQVH0syKfzIwKHBHuOLqLV7/view
abu-beach-4,abu,AVIRIS family,anomaly_benchmark,water_dams_coast,"Water, Dams & Coast",Beach anomalies,102,150,150,0,,https://drive.google.com/file/d/1E7J-o1cQoeG8OJT0vlP08SzMMNfTW8xQ/view,,https://drive.google.com/file/d/1imEFSD-lybp4iHQ9lAziRYWrc_aEgnIt/view
abu-airport-4,abu,AVIRIS family,anomaly_benchmark,aircraft,Aircraft on tarmac,Aircraft on tarmac,100,100,100,0,,https://drive.google.com/file/d/1RVnkvr1FtdZvq3UXQx2OyvUykOFo_BNx/view,,https://drive.google.com/file/d/1MaNaFWZuH-dszxqZKLi9kkolxpe_5ceq/view
abu-urban-3,abu,AVIRIS family,anomaly_benchmark,urban_buildings,Urban / Buildings / Settlements,Urban anomalies,100,100,100,0,,https://drive.google.com/file/d/1e1SW_szOUpnWiJMAwEP9ZEOtSsHGHMQ5/view,,https://drive.google.com/file/d/1BZrF08dFmLMUDwKMztTg6SDsqtBORPN7/view
Sandiego,san_diego,AVIRIS family,anomaly_benchmark,aircraft,Aircraft on tarmac,Aircraft (San Diego),100,100,100,0,,https://drive.google.com/file/d/1XjSl5NiliT4CxXXBsi-9I4WEdzok7cdC/view,,https://drive.google.com/file/d/1Gq04TaOJSEj5tWqdsrZK_A04FAlx91YA/view
HYDICE-urban,hydice,HYDICE,anomaly_benchmark,roads_vehicles,Roads & Vehicles,Urban vehicles (HYDICE),80,80,100,0,,https://drive.google.com/file/d/1l0cgDpvVDmJeUXTK2mEelZqQJYgLHsCe/view,,
